article_id,title,true_sentiment,predicted_sentiment,confidence
rss-621a6d8db4a96598,TSLA Stock Rises Overnight: JPMorgan Says Tesla-SpaceX Merger Looks ‘Coherent On Paper’ — But China Approval Risks Loom,neutral,positive,0.948
rss-99944ade793ab0e4,Is Netflix (NFLX) A Bargain Following Its Ad Push And Q2 Earnings Focus?,neutral,negative,0.558
rss-b67d289541cee5b7,Simon Property Group Announces Offering of Euro-Denominated Notes,neutral,positive,0.522
rss-49991ab247ac1122,MercadoLibre and Walmart Are Both Down This Year. Which Stock Should Investors Buy?,positive,negative,0.739
rss-6668b6b25430b211,"ITA Just Ripped Higher, but America’s Rearmament Cycle May Still Be in the First Inning",positive,neutral,0.576
rss-d090efefd2339b40,Don’t Let Your Kids’ Braces Chew Up Your Retirement,positive,neutral,0.697
rss-90d8992f545666da,My Top Dividend Growth Stock to Buy in July and Hold Forever,positive,neutral,0.762
rss-1d7799b4365e289f,What Does Gladstone Commercial's New Ohio Lease Mean for Investors?,positive,negative,0.405
rss-458133ea68eed813,Mundoro Advances Central Timok Project with Recent Skorusa East Drilling,positive,neutral,0.73
rss-930d5f12a30637cc,Kymera Therapeutics (KYMR) Stock Gets Fair Value Bump After KT 621 Timeline Shift,positive,neutral,0.514
rss-7c8555a67bc42f6b,Sector Update: Energy Stocks Advance Pre-Bell Wednesday,positive,neutral,0.706
rss-d0b80d534778c0b5,Pfizer vs Verizon Communications: Which High-Yielding Dividend Stock Is the Better Buy?,positive,neutral,0.633
rss-b4282a1dfd6d0df5,"[Latest] Global Antidiabetic Drugs Market Size/Share Worth USD 309.84 Billion by 2035 at a 11.62% CAGR: Healthcare Foresights (Analysis, Outlook, Leaders, Report, Trends, Forecast, Segmentation, Growth Rate, Value, SWOT Analysis)",positive,neutral,0.834
rss-a7ec140396ee5bf5,Prologis (PLD) Pursues £12.6 Billion Segro Deal to Expand Logistics and Data Center Footprint,positive,neutral,0.524
rss-440848cf37335d0a,Bank of America argues Amazon retail rival is major AI winner,positive,neutral,0.889
rss-3f87e1bd5512d0ba,"Ford CEO wants level playing field with Toyota, GM imports as USMCA trade talks reopen",neutral,positive,0.578
rss-019c5d2b3b95bbf1,Bank of America's new META stock outlook cuts to the chase,positive,negative,0.973
rss-4cba28efe236efb3,Grocery Stores Lower Prices as Consumers Pare Spending,neutral,negative,0.95
rss-0893bf21b8983a2c,DirecTV to acquire EchoStar’s video distribution business including Dish TV and Sling TV,positive,neutral,0.908
rss-ff4ebb488b21ea5e,Spreetail Marks 20 Years of Powering Ecommerce,positive,neutral,0.547
rss-0aab4fb0b95f245f,5 Safe Monthly Pay Dividend Stocks Boomers Love in July,positive,negative,0.496
rss-e5b261a6ac66692c,Are Basic Materials Stocks Lagging Dow (DOW) This Year?,positive,neutral,0.401
rss-03c69724a73231f0,1 Mooning Stock with Exciting Potential and 2 Facing Challenges,neutral,positive,0.552
rss-f77e797f14980851,How Investors May Respond To ConocoPhillips (COP) Shelf Moves Amid Index Shift And Oil Shock,positive,neutral,0.581
rss-60bde3a70beb3802,SpaceX Stock Tracks Key Trends in Satellite Broadband and AI,positive,neutral,0.688
rss-ee49d8bc8234cdae,The Line In The Sand For AVGO Stock,positive,negative,0.965
rss-cf9c56d0f76cd484,The Main Reason Behind Buying UnitedHealth Before July 16,positive,neutral,0.579
rss-8b685849d94d65ec,"Top 135 Best Locally Owned BBQ Supply Stores in the U.S., According to Survey [2026]",positive,neutral,0.692
rss-ec0e5168dfb50951,NextEra Energy vs. Duke Energy: A $67 Billion Deal Could Change the Revenue Script,neutral,positive,0.386
rss-4868ed0472d1f495,Mark Zuckerberg Is Turning Meta Into a Bigger Chipmaker. Its Newest In-House AI Chip Enters Production in September.,positive,neutral,0.657
rss-2971046c8536b4c5,"JNJ Stock Management Sees A Breakout, The Market Sees A Standoff",neutral,negative,0.956
rss-e47d8b1e5e0cc270,Costco’s June Sales Rise but Same Store Sales Growth Disappoints,neutral,positive,0.617
rss-6a45d3e9a0d49b4e,Scotiabank and Jefferies Update Outlook on Realty Income (O) Amid REIT Valuation Concerns,negative,positive,0.524
rss-97b0e123ed1c579a,Should Investors Be Concerned That Walmart Got Kicked Out of the $1 Trillion Club and Now the $900 Billion Club?,neutral,negative,0.945
rss-3651b8824f8a2712,"Forget The Airlines, The Hidden Monopoly Is Pocketing Your Higher Airfare",positive,neutral,0.518
rss-26ed6a2bfb4ea9a6,"Exelon, FirstEnergy utilities’ RTO adder targeted by Maryland in FERC complaint",negative,neutral,0.49
rss-e218eb3abcb175df,"Here Are Wednesday’s Best Wall Street Analyst Research Calls: Abbott Laboratories, Circle Internet, Dow, Kratos Defense, Lockheed Martin, Salesforce, ServiceNow,SpaceX, and More",neutral,negative,0.658
rss-51ce10a1976957cf,The $2 Trillion Question Nobody’s Asking About the SpaceX IPO,negative,neutral,0.863
rss-bd62f6c490cd5201,"Consumer prices rose 4.2% annually in May, highest in three years",neutral,positive,0.948
rss-dc5e4429497e5440,BofA’s Top Strategist Says Ditch the Index and Buy These ‘Boring’ Stocks Instead,positive,neutral,0.804
rss-5e0d0bd29ad0c69c,Chevron (CVX) – Among the 14 Best Blue Chip Dividend Stocks to Buy According to Hedge Funds,positive,neutral,0.834
rss-8ea0f88056fb990c,The Reason Behind Blue Origin’s Eye-Popping Valuation,positive,neutral,0.765
rss-ca0d208665dd4e81,Americans are quietly abandoning the daily habit that billionaires say set them up for success—and it could have lasting consequences,neutral,negative,0.649
rss-045f9d58596724ad,Can UNH's Lifestyle Spending Account Redefine Employee Benefits?,positive,neutral,0.601
rss-81955c71a2012829,Simon Property Group (SPG) Price Target Raised at Scotiabank. Here is Why,positive,neutral,0.835
rss-d85fc967b194cac4,The Pro-Focused Pivot That Puts Home Depot Stock's Core Engine At Risk,negative,neutral,0.492
rss-22fdfdd4d38b2175,Duke gives up offshore wind lease for ‘partial’ reimbursement under Interior deal,neutral,positive,0.799
rss-a77c2f593f1798f5,1 Big Reason Nike's Turnaround Is Taking Longer Than Expected,negative,positive,0.747
rss-72e132142c36701e,Unusual Put Option Activity in Johnson & Johnson After JNJ Stock's Recent Runup,neutral,negative,0.89
rss-4a90ed44a6163778,"Xbox CEO Asha Sharma Will Lead Productivity & Jobs Task Force for US Federal Reserve After Laying Off 3,200 People - 80 Level",negative,neutral,0.494
rss-b59266e2b10c3b24,Micron Unveils $250 Billion Spending Plan. BofA Says Buy.,positive,negative,0.543
rss-e951899c8f4e3008,VNQ’s 18-Year July Streak Makes REITs a Seasonal Standout,positive,negative,0.778
rss-690159e345ad1f21,Make Your FCX Shares Pay You 15% While You Hold Them,positive,neutral,0.829
rss-16cb1c34187c9a26,Lockheed Martin Vs. Boeing: Which Stocks Is A Better Buy In July,positive,negative,0.42
rss-42f32a2bf2d0a82e,"The S&P 500 Looks Pricey at 22x Earnings. On Cash Flow, It’s a Terrifying 32x.",negative,neutral,0.659
rss-45f9923353971d22,Just How Wide Is The Path Ahead For Intuitive Surgical Stock?,negative,neutral,0.902
rss-03eda8d893e7bb08,Is Holding Simon Property Stock Still Smart Move for Your Portfolio?,positive,neutral,0.563
rss-d7b0cded8c59adaf,How Kohl’s Is Navigating the Back-to-school Season,positive,neutral,0.866
rss-1fccf1e8d5e7ce93,Home Depot (HD) Stock Moves 2.01%: What You Should Know,neutral,positive,0.771
rss-3afe630b4af527fa,Own Walmart For Value? Dollar Tree's Numbers Tell A Sharper Story.,neutral,positive,0.505
rss-1fcb80a64df8e43d,"Bitcoin Dips Below $60,000 and History Points to What Comes Next",negative,positive,0.717
rss-24c19e51b40fdd71,"Still Think Gold Is Overcrowded? 3 More Stocks Retirees Should Consider Instead, Ranked",positive,negative,0.534
rss-6dc2e66d1b116d09,Cathie Wood Doubles Down on Tesla and SoFi With Fresh Million-Dollar Buys,positive,negative,0.811
rss-84987b3157bccc53,GE Aerospace Is a No-Brainer Buy Before July 16 Earnings. Here’s Why,positive,neutral,0.771
rss-13b632ac4ad780a2,3 Reasons to Buy This 4.2%-Yielding Dividend King Stock in July,positive,neutral,0.855
rss-75d29b06f794388a,Datadog Stock Is Way Too Risky Right Now,negative,positive,0.958
rss-74327a74f945e623,"Far more real estate agents now report seeing a balanced market, CNBC Housing Market Survey finds",neutral,negative,0.955
rss-178a44b399ecff60,Avoid Tech Stock Volatility. The Case for Owning a Materials ETF.,positive,neutral,0.86
rss-767f4951102e989d,"Exxon Mobil updates Q2 earnings considerations, cites impacts across key businesses",positive,negative,0.963
rss-75b52a0d8bc58306,"The PNC Financial Services Group, Inc (PNC) Reports Next Week: Wall Street Expects Earnings Growth",positive,neutral,0.553
rss-880a523cd9ef0a14,ExxonMobil vs. Chevron: Which Oil Dividend Stock is the Better Buy for a Lifetime of Passive Income,positive,neutral,0.808
rss-d5ae219857e7be84,"If I Could Only Buy 1 Artificial Intelligence (AI) Stock, This Would Be It",positive,negative,0.846
rss-a6e1a69d8dba430d,Forget Southern Copper: 1 Domestic Copper King to Buy Hand Over Fist as the Global Supply Crunch Intensifies,positive,negative,0.438
rss-c22e13306263cddf,Realty Income Corporation (O) is Attracting Investor Attention: Here is What You Should Know,positive,neutral,0.748
rss-c07032bc0dc7e027,3 Dividend Aristocrats to Buy in July,positive,neutral,0.891
rss-675d3fc34b87ef27,What Southern (SO)'s Anticipated Earnings Uptick and Premium Valuation Mean For Shareholders,negative,positive,0.547
rss-56b88b3e6aa6045b,Energy Transition Update - Statkraft Expands With Major Wind Project In Brazil,neutral,positive,0.651
rss-91fa898a2dc7e44f,Can Nvidia Still Turn Patient Investors Into Millionaires?,positive,neutral,0.423
rss-d520243c73b1f377,"Why AstraZeneca Crashed 6%, Leading Two Rivals, Including Pfizer, To Jump",neutral,negative,0.958
rss-c415bc19a86b16ba,Netflix Slides 17% as Valuation Worries Grow,positive,negative,0.973
rss-c009c8702e9a963c,WEN Stock Up 28% in a Month: Should Investors Chase the Rally or Wait?,positive,negative,0.415
rss-9c2ac864bd19fa78,Trump’s Freedom 250 draws corporate sponsors with business before his administration,positive,neutral,0.756
rss-bcb668b1e05b419f,Mayor Mamdani announces 'Click to Cancel' rule to rid NYC of subscription traps and junk fees - ABC7 New York,positive,neutral,0.871
rss-0cc4aac0a1164e17,The Dividend Portfolio That Can Cover a Silicon Valley House Payment,positive,neutral,0.85
rss-d5a398f57438cf32,Why Vanguard’s $143 Billion Tech ETF Outpaced QQQ While Charging Half the Fee,positive,neutral,0.757
rss-0bfad27f80db7281,My Bold Prediction for This Stock Through 2030,neutral,positive,0.509
rss-1797b4632bab0f0e,Why Is Exxon Mobil (XOM) Taking Cuba To Court Again?,negative,positive,0.48
rss-481eee322e6bbadf,AI landlord targeted for £12bn takeover,positive,negative,0.805
rss-30bb5d3244d740ba,"Forget MP Materials. This Established ""Picks and Shovels"" Mining Giant Is the Safer Way to Play the Metals Supercycle.",positive,neutral,0.9
rss-29092ade5885c00e,Exxon Mobil signals massive profit spike but Wall Street is divided,neutral,negative,0.492
rss-dcd8a51c5eb0be5a,"Wholesale prices rose 1.1% in May, more than expected, on surge in energy",neutral,positive,0.952
rss-ef796b4edf04a6c8,3 Reasons Investors Watch Genpact (G),positive,negative,0.695
rss-ffc652ddb2283d72,Burkett Financial Added to Its Stake in J.P. Morgan's JEMA ETF With a $20.8 Million Buy. What Does That Mean for Investors?,positive,neutral,0.784
rss-ff11cb6cd13e189f,Exxon Mobil (XOM) Price Target Lowered by $17 at TD Cowen. Here is Why,positive,neutral,0.544
rss-2e2ec76a44805ebf,"Endeavor’s SOVA Acquires Unified Connection (UCX), Extending Its Position as the Nation’s Largest Verizon Enterprise Connectivity Platform",positive,neutral,0.593
rss-0d66891f2c110163,Microsoft (MSFT) Unifies Copilot Strategy to Challenge ChatGPT and Claude,positive,negative,0.455
rss-62fe7120878a1301,Jim Cramer Says He Bets “The Gains in CVS Will Be Long-Lasting”,positive,neutral,0.758
rss-25ce615b9f00cf7e,Bear of the Day: Nike (NKE),negative,neutral,0.912
rss-50cc09ec56fe780d,Trump's Financial Disclosure Revealed a $1.67 Million Micron Stock Stake,positive,neutral,0.85
rss-e57bbec3a99ec5d7,3M's Fiber Optic Breakthrough Is Helping Power AI's Massive Buildout,positive,neutral,0.84
rss-7ebbf0495a83fd7a,Prediction Markets Are Exploding—but the Corporate Crackdown Has Already Begun - inc.com,negative,neutral,0.875
rss-5beb1bb7ca08b818,The Portfolio That Makes Christmas Feel Like Christmas Again,positive,neutral,0.915
rss-314421ad100e0fb4,"Three Dividend Strategies That Can Produce $7,500 a Month and Which One Comes Out Ahead",positive,neutral,0.858
rss-85d8bdac1dd36143,Dow Inc. (DOW) Stock Sinks As Market Gains: Here's Why,positive,neutral,0.386
rss-763f7d315ae1aca8,Iran war windfall puts Big Oil on collision course with Trump,positive,negative,0.528
rss-71a5e06466642664,Rivian Stock Soars on Target Price Hike. There’s Just One Problem.,negative,positive,0.62
rss-e62a946847536b5f,"Physical AI has reached commercialisation, but scaling remains the hard part, says Citi",negative,neutral,0.836
rss-adf9d333fca35e80,"A 2.86% Yield, 0.08% Fee, and 75 Stocks: Is HDV the Anti-Hype ETF?",positive,neutral,0.8
rss-8b0490ab00ccd63f,Action-starved traders look to small-cap stocks for the next big move,neutral,negative,0.892
rss-860c388ad7b45fc3,Netflix (NFLX) Gained From Multiple Tailwinds,positive,neutral,0.495
rss-9a5cbbd0946afafe,"$500 a Month in These Stocks Will Generate $6,700 in Passive Annual Income",positive,neutral,0.781
rss-85947c545b9bee40,Creating Shareholder Value Through a Possible Prologis and SEGRO Combination,positive,neutral,0.745
rss-0e32fcc77a10546b,"Waymo, Tesla must fix a dangerous issue with their robotaxis, NHTSA says",negative,neutral,0.766
rss-94ab24dc1f2f1899,Boeing (BA) Returns To China With Seven Plane Cargo Order From China Southern,neutral,positive,0.603
rss-9a8db6b48a462874,"Don’t Buy Tesla Stock, Analyst Says, Despite ‘Immense’ Potential",negative,positive,0.558
rss-bd02ef851356b628,Geron Corporation Reports Inducement Grants Under Nasdaq Listing Rule 5635(c)(4),positive,neutral,0.842
rss-ad08d1f1b455381b,Costco makes payment change that could speed up checkout for members,neutral,positive,0.905
rss-90de85a493b60bee,3 High-Yield Dividends That Pay You Soon (But You Must Act Quickly),positive,negative,0.497
rss-c231ef64bfd2f613,"Costco shares fall after June sales update, Bank of America remains bullish",positive,negative,0.974
rss-a7e6a95b7ae2177c,"Top Stock Picks for Week of July 6, 2026",positive,neutral,0.72
rss-0de333a8c80aadaf,"Stock Market’s Risk Appetite Is Shifting as AI, Iran, and Fed Fears Linger",positive,neutral,0.681
rss-eddaa6c5ddd21c54,"How a $1 Million Dividend Portfolio Can Generate $100,000 Annually",positive,neutral,0.775
rss-628b2802f131ae36,3 REITs to Buy for Passive Income in July,positive,negative,0.564
rss-98fbf11ce957dc87,2 Cash-Producing Stocks to Keep an Eye On and 1 We Brush Off,neutral,negative,0.52
rss-6373d81727a51184,Johnson & Johnson (JNJ) Could Be 34% Below Fair Value Following IMAAVY Update,negative,positive,0.584
rss-08c35086a7776fdf,EagleBank taps former Wells Fargo exec to lead new capital markets division - The Business Journals,positive,neutral,0.949
rss-3f887dd363410eab,Sable Offshore (SOC) Is Down 42.3% After Convertible Notes And Equity Sale To Rework Exxon Loan,negative,neutral,0.525
rss-439df5e05aeee7fd,Six Dividend Aristocrats Keeping SCHD’s Income Stream Bulletproof This Year,positive,neutral,0.815
rss-ae0ea91c47268dbf,How to AI-Proof Your Fund Portfolio,neutral,negative,0.495
rss-f7498f809e7840df,How To Turn A Portfolio Into $500 A Month Without Chasing Dangerous Yields,positive,neutral,0.897
rss-663256424673815f,"Stocks making big moves yesterday: Boeing, Lincoln Financial Group, Dell, NN, and Tesla",positive,neutral,0.932
rss-2c7474a6bc95a9bb,Is Caterpillar (CAT) Still A Bargain Or Already Fully Priced?,negative,positive,0.604
rss-0c02166274863a5b,The Real Price of NVIDIA Stock Is Three Years Away,positive,neutral,0.762
rss-56c06a1aca3fff64,"Merck, AbbVie probed by US lawmakers over China clinical trials: report",neutral,negative,0.487
rss-436f705b7c9f3af2,COST Stock Retreats After Hours On Decelerating Comparable Sales After Strong May Performance,negative,positive,0.836
rss-799f1bde27981843,Coca-Cola (KO) Stock Drops Despite Market Gains: Important Facts to Note,positive,negative,0.52
rss-eef9743f4030db52,Nervous About AI Spending? Buy the Stocks of These 3 Tech Giants.,positive,negative,0.558
rss-8216aca62059a28a,The Nuclear Energy Comeback Is Real. These 3 Energy Stocks Are the Best Ways to Play the Revival.,positive,neutral,0.853
rss-7d3d9cd2a267bc12,ISCV vs. IJJ: Which Value ETF Is the Better Buy Today?,positive,neutral,0.714
rss-582b0aca44ddb24d,Costco Wholesale Corporation (COST) Is a Trending Stock: Facts to Know Before Betting on It,positive,neutral,0.798
